filename;compressed_size;uncompressed_size
10447.json;426101;5751239
10448.json;484017;6277324
10449.json;413817;5643943
1044.json;443483;6572999
10450.json;315457;5416064
10451.json;339926;5408778
10452.json;535557;6442977
10453.json;333061;5414475
10454.json;395747;5519015
10455.json;392201;5523352
10456.json;368331;5671248
10457.json;372883;5836414
10458.json;256110;5207411
10459.json;297067;5285721
1045.json;442775;6572756
10460.json;296037;5252624
10461.json;378648;5568346
10462.json;377211;5453621
10463.json;357359;5458470
10464.json;446261;5739171
10465.json;428311;5660034
10466.json;427213;5736266
10467.json;390716;5606933
10468.json;437902;5890564
10469.json;346347;5572424
1046.json;447786;6605537
10470.json;467073;5920802
10471.json;357182;5384162
10472.json;420155;5581351
10473.json;406198;5588141
10474.json;431919;5702377
10475.json;362476;5359981
10476.json;457416;5779482
10477.json;418023;5638747
10478.json;484906;5997793
10479.json;366814;5462934
1047.json;447998;6567193
10480.json;472672;5936333
10481.json;472249;5943976
10482.json;450499;5909356
10483.json;351986;5649291
10484.json;390750;5327587
10485.json;424309;5599529
10486.json;277832;4014869
10487.json;396410;5656854
10488.json;399562;5845823
10489.json;352139;5523435
1048.json;446885;6549943
10490.json;320062;4632846
10491.json;271105;4055107
10492.json;355049;4796137
10493.json;439899;5548267
10494.json;371023;5123113
10495.json;411206;5937614
10496.json;334606;5390586
10497.json;433539;5694859
10498.json;352368;5401968
10499.json;362979;5428319
1049.json;446510;6533466
104.json;194879;3889520
10500.json;363000;5148047
10501.json;365207;4905112
10502.json;358370;4778707
10503.json;325254;4151027
10504.json;328087;4185073
10505.json;316780;4838611
10506.json;374216;5313716
10507.json;530765;6328900
10508.json;377208;5301420
10509.json;436454;5992023
1050.json;452497;6545141
10510.json;422343;5851439
10511.json;321742;4648553
10512.json;428864;5643331
10513.json;379998;5549964
10514.json;382488;5533593
10515.json;347801;5344699
10516.json;406922;5595802
10517.json;353052;5070977
10518.json;348492;5356783
10519.json;344038;5616528
1051.json;457878;6573197
10520.json;285025;5461850
10521.json;344481;5724258
10522.json;446184;6069158
10523.json;433970;6011074
10524.json;442972;6368742
10525.json;473211;6802165
10526.json;495256;6838753
10527.json;467116;7028945
10528.json;466311;6838387
10529.json;420714;5886103
1052.json;469810;6520849
10530.json;376704;5528099
10531.json;372673;5628609
10532.json;308733;4545293
10533.json;341235;5142324
10534.json;388709;5574345
10535.json;336537;5527085
10536.json;401124;5755866
10537.json;391577;5360737
10538.json;408345;5678770
10539.json;415074;5609980
1053.json;465017;6546505
10540.json;403427;5400583
10541.json;377074;5635785
10542.json;468647;6432275
10543.json;378279;6093617
10544.json;474455;6416937
10545.json;1018402;8286482
10546.json;437503;6176069
10547.json;455351;6069468
10548.json;450465;5948334
10549.json;466448;6136476
1054.json;457470;6580228
10550.json;380932;5838096
10551.json;476106;6358790
10552.json;518943;6472546
10553.json;535062;6533579
10554.json;551066;6661547
10555.json;573421;6681038
10556.json;434407;6110466
10557.json;429608;5845126
10558.json;411802;5734729
10559.json;537331;7095261
1055.json;478407;6602641
10560.json;457044;6776715
10561.json;456821;6661337
10562.json;547837;7019778
10563.json;458107;5665447
10564.json;365171;5350241
10565.json;387527;5444381
10566.json;447066;5772672
10567.json;443555;5769010
10568.json;428294;5736276
10569.json;443030;5816067
1056.json;466988;6552494
10570.json;441324;5860584
10571.json;440172;6191793
10572.json;393304;5848489
10573.json;333505;5633591
10574.json;369032;5482711
10575.json;492971;5753812
10576.json;358456;5113408
10577.json;407148;5560435
10578.json;399137;5550358
10579.json;446570;5830363
1057.json;448663;6572696
10580.json;444098;5670564
10581.json;414325;6025829
10582.json;394208;6083156
10583.json;1925265;12663861
10584.json;294562;5416005
10585.json;258622;5387127
10586.json;305675;5541750
10587.json;323444;5633346
10588.json;410335;5824743
10589.json;552835;5920508
1058.json;469337;6507842
10590.json;507414;6141916
10591.json;433368;5770716
10592.json;384142;6199709
10593.json;592585;7055137
10594.json;317180;5553625
10595.json;329777;5330219
10596.json;365252;5742992
10597.json;329196;5469665
10598.json;272931;5361626
10599.json;286052;5433217
1059.json;471761;6537042
105.json;197297;3897547
10600.json;319616;5544856
10601.json;374963;5695084
10602.json;481881;6124318
10603.json;289683;5462023
10604.json;417435;5652450
10605.json;402007;5733118
10606.json;337172;5312642
10607.json;274063;5161306
10608.json;369923;5620679
10609.json;403540;5874228
1060.json;477354;6519624
10610.json;442149;6016265
10611.json;676230;6906608
10612.json;403118;5882586
10613.json;314412;5630159
10614.json;401721;6061255
10615.json;414254;6035822
10616.json;382334;5695415
10617.json;308683;5410604
10618.json;358392;6017027
10619.json;337619;5825676
1061.json;466988;6480276
10620.json;353298;5893377
10621.json;369258;5563759
10622.json;390175;5740311
10623.json;349752;5529288
10624.json;424879;5977721
10625.json;410318;6247335
10626.json;374231;5941974
10627.json;393058;5770950
10628.json;370547;5741509
10629.json;409569;5741623
1062.json;467110;6497194
10630.json;454296;6429491
10631.json;454366;5908768
10632.json;417396;5764954
10633.json;373014;5394410
10634.json;383243;5418462
10635.json;351697;5326260
10636.json;460461;6073589
10637.json;456730;6102230
10638.json;243529;5102451
10639.json;220608;5020693
1063.json;452035;6371108
10640.json;221626;5002743
10641.json;204196;4989341
10642.json;196282;5029012
10643.json;209282;5082880
10644.json;208030;5067316
10645.json;213392;5061501
10646.json;217880;5065414
10647.json;227344;5070233
10648.json;230123;5068167
10649.json;232898;5098555
1064.json;458701;6427344
10650.json;201569;5020724
10651.json;209602;5025129
10652.json;220800;5029538
10653.json;217103;5127061
10654.json;290079;5289186
10655.json;364348;5470177
10656.json;332106;5270352
10657.json;508892;5995558
10658.json;427135;5651602
10659.json;386836;5473441
1065.json;447097;6436879
10660.json;388384;5540897
10661.json;506567;6700993
10662.json;681365;7784769
10663.json;390118;5515302
10664.json;337058;5500097
10665.json;444667;5710506
10666.json;384063;5812868
10667.json;243873;5238013
10668.json;337963;5604369
10669.json;408067;5620792
1066.json;458308;6563351
10670.json;260649;4603865
10671.json;319979;5469852
10672.json;414255;5779098
10673.json;957599;9035216
10674.json;414763;5639958
10675.json;343122;5561945
10676.json;355765;5363427
10677.json;253939;4271637
10678.json;557472;6347379
10679.json;470290;5766259
1067.json;457800;6554230
10680.json;479233;5760327
10681.json;442531;5688828
